#nom;cmd goldelox;cmd picaso;cmd diablo16;arguments en entrée;Valeurs de retour;commentaires paramètres en entrée;commentaires paramètres en sortie;commentaires fonctionnement
#;si vide : pas implémenté pour le type d’écran;;;uint16_t par défaut, sinon le type est spécifié entre (). vide si pas D’arguments;si précédé d’un ‘ :’ → signifie que la valeur est retournée sur diablo16 et picaso, mais pas sur goldelox;;;
txt_moveCursor;0xFFE4;0xFFE9 ;0xFFF0;line, column;ack;line : Holds a positive value for the required line position. column :Holds a positive value for the required column position.;;Moves the text cursor to a screen position set by line and column parameters. The line and column position is calculated, based on the size and scaling factor for the currently selected font. When text is outputted to screen it will be displayed from this position. The text position could also be set with “Move Origin” command if required to set the text position to an exact pixel location. Note that lines and columns start from 0, so line 0, column 0 is the top left corner of the display.
txt_putCh;0xFFFE;0xFFFE;0xFFFE;car;ack;car : Holds a positive value for the required character.;;Prints a single character to the display
txt_putStr;0x0006;0x0018 ;0x0018;(const char *) cstr;ack,:length;cstr : Holds a Null terminated string. NOTE: Maximum characters in the string is 255 for GOLDELOX or 511 for PICASO and DIABLO16;length : Length of the string printed;Prints a string to the display and returns the pointer to the string.
txt_charWidth;0x0002;0x001E;0x001E;(char) car;ack,width;car : The ASCII character for the width calculation.;width : Width of a single character in pixel units.;Calculate the width in pixel units for a character, based on the currently selected font. The font can be proportional or mono-spaced. If the total width of the character exceeds 255 pixel units, the function will return the 'wrapped' (modulo 256) value.
txt_charHeight;0x0001;0x001D ;0x001D;(char) car;ack,height;car : The ASCII character for the height calculation.;height : Height of a single character in pixel units.;Calculate the height in pixel units for a character, based on the currently selected font. The font can be proportional or mono-spaced. If the total height of the character exceeds 255 pixel units, the function will return the 'wrapped' (modulo 256) value.
txt_fgColour;0xFF7F;0xFFE7;0xFFEE;colour;ack,:oldCol;Colour : colour to be set.;oldCol : Previous Text Foreground Colour.;Sets the text foreground colour.
txt_bgColour;0xFF7E;0xFFE6;0xFFED;colour;ack,:oldCol;Colour : colour to be set.;oldCol : Previous Text Background Colour.;Sets the text background colour.
txt_fontID;0xFF7D;0xFFE5;0xFFEC;id;ack,:oldFont;Id : 0 for System font (Default Fonts), 7 for Media fonts;oldFont : Previous Font ID.;Sets the required font using its ID.
txt_widthMult;0xFF7C;0xFFE4;0xFFEB;wMultiplier;ack,:oldMul;wMultiplier : Width multiplier, 1 to 16 (Default =1);oldMul : Previous Multiplier value.;Sets the text width multiplier between 1 and 16.
txt_heightMult;0xFF7B;0xFFE3;0xFFEA;hMultiplier;ack,:oldMul;hMultiplier : Height multiplier, 1 to 16 (Default =1);oldMul : Previous Multiplier value.;Sets the text height multiplier between 1 and 16.
txt_xgap;0xFF7A;0xFFE2;0xFFE9;xGap;ack,:oldGap;xGap : pixelcount 0 to 32(Default =0);oldGap : Previous pixelcount value.;Sets the pixel gap between characters (x-axis), where the gap is in pixel units.
txt_ygap;0xFF79;0xFFE1;0xFFE8;yGap;ack,:oldGap;yGap : pixelcount 0 to 32(Default =0);oldGap : Previous pixelcount value.;Sets the pixel gap between characters (y-axis), where the gap is in pixel units.
txt_bold;0xFF76;0xFFDE;0xFFE5;mode;ack,:oldBold;mode : 1 for ON, 0 for OFF.;oldBold : Previous Bold status.;Sets the Bold attribute for the text.
txt_inverse;0xFF74;0xFFDC;0xFFE3;mode;ack,:oldInv;mode : 1 for ON, 0 for OFF.;oldInv : Previous ‘Text Inverse’ status.;Sets the text to be inverse.
txt_italic;0xFF75;0xFFDD;0xFFE4;mode;ack,:oldItal;mode : 1 for ON, 0 for OFF.;oldItal : Previous Italic Text status.;Sets the text to italic.
txt_opacity;0xFF77;0xFFDF;0xFFE6;mode;ack,:oldOpa;mode : 1 for ON. (Opaque), 0 for OFF. (Transparent);oldOpa : Previous Text Opacity status.;Selects whether or not the 'background' pixels are drawn (Default mode is OPAQUE with BLACK background).
txt_underline;0xFF73;0xFFDB;0xFFE2;mode;ack,:oldUnder;mode : 1 for ON, 0 for OFF.;oldUnder : Previous Text Underline status.;Sets the text to underlined.vThe ‘Text Underline’ attribute is cleared internally once the text (character or string) is displayed. Note: The “Text Y-gap” command is required to be at least 2 for the underline to be visible.
txt_attributes;0xFF72;0xFFDA;0xFFE1;bitfield;ack,:oldAttr;bitfield : bold=1<<4, italic=1<<5, inverse=1<<6, underlined=1<<7 (bits 0-3 and 8-15 are reserved);oldAttr : Previous Text Attributes status.;Controls the following functions grouped : Text Bold, Text Italic, Text Inverse, Text Underlined. The Attributes are set to normal internally once the text (character or string) is displayed.
txt_set;0xFFE3;;;function, value;ack;function : 7 = Sets the Delay between the characters being printed through Put Character or Put String functions, value = 0(Default) to 255 (ms);;Sets various parameters for the Text commands.
txt_wrap;;0xFFD9;0xFFE0;xpos;ack,oldWrap;xpos : 0 for OFF (Default), 1 to N for Wrap position in Pixels.;oldWrap : Previous wrap position;Sets the pixel position where text wrap will occur at RHS. The feature automatically resets when screen mode is changed.
gfx_cls;0xFFD7;0xFFCD;0xFF82;;ack;;;Clears the screen using the current background colour. Brings some of the settings back to default such as Outline colour set to BLACK, Pen set to OUTLINE, Text magnifications set to 1, All origins set to 0:0.
gfx_changeColour;0xFFBE;0xFFB4;0xFF69;oldColour, newColour;ack;oldColor : sample colour to be changed within the clipping window, newColor : new colour to change all occurrences of old colour within the clipping window;;Changes all oldColour pixels to newColour within the clipping window area.
gfx_circle;0xFFCD;0xFFC3;0xFF78;x, y, radius, colour;ack;x, y : centre of the circle, radius : radius of the circle, colour : colour of the circle.;;Draws a circle with centre point and radius using the specified colour.
gfx_circleFilled;0xFFCC;0xFFC2;0xFF77 ;x, y, radius, colour;ack;x, y : centre of the circle, radius : radius of the circle, colour : colour of the circle.;;Draws a solid circle with centre point and radius using the specified colour. Outline colour can be specified with the “Outline Colour” command, if set to 0, no outline is drawn.
gfx_line;0xFFD2;0xFFC8;0xFF7D;x1,y1,x2,y2,colour;ack;x1,y1 : starting coordinates of the line, x2,y2 : ending coordinates of the line, colour : colour of the line.;;Draws a line from x1,y1 to x2,y2 using the specified colour. The line is drawn using the current object colour. The current origin is not altered. The line may be tessellated with the “Line Pattern” command.
gfx_rectangle;0xFFCF;0xFFC5;0xFF7A;tlx,tly,brx,bry,colour;ack;tlx,tly : top left corner of the rectangle, brx,bry : bottom right corner of the rectangle, colour : colour of the rectangle.;;Draws a rectangle from x1, y1 to x2, y2 using the specified colour. The line may be tessellated with the “Line Pattern” command.
gfx_rectangleFilled;0xFFCE;0xFFC4 ;0xFF79;tlx,tly,brx,bry,colour;ack;tlx,tly : top left corner of the rectangle, brx,bry : bottom right corner of the rectangle, colour : colour of the rectangle.;;Draws a Filled rectangle from x1, y1 to x2, y2 using the specified colour. The line may be tessellated with the “Line Pattern” command. Outline colour can be specified with the “Outline Colour” command, if set to 0, no outline is drawn.
gfx_polyline;0x0005;0x0015;0x0015;n,vx[n],vy[n],colour;ack;n : number of elements in the x and y arrays specifying the vertices for the polyline, vx[n] : array of elements for the x coordinates of the vertices, vy[n] : array of elements for the y coordinates of the vertices, colour : colour of the polyline.;;Plots lines between points specified by a pair of arrays using the specified colour. The lines may be tessellated with the “Line Pattern” command
gfx_polygon;0x0004;0x0013;0x0013;n,vx[n],vy[n],colour;ack;n : number of elements in the x and y arrays specifying the vertices for the polygon, vx[n] : array of elements for the x coordinates of the vertices, vy[n] : array of elements for the y coordinates of the vertices, colour : colour of the polygon.;;Plots lines between points specified by a pair of arrays using the specified colour. The last point is drawn back to the first point, completing the polygon. The lines may be tessellated with “Line Pattern” command.
gfx_polygonFilled;;0x0014 ;0x0014;n,vx[n],vy[n],colour;ack;n : number of elements in the x and y arrays specifying the vertices for the polygon, vx[n] : array of elements for the x coordinates of the vertices, vy[n] : array of elements for the y coordinates of the vertices, colour : colour of the polygon.;;Draws a solid Polygon between specified vertices using the specified colour. The last point is drawn back to the first point, completing the polygon. Vertices must be a minimum of 3 and can be specified in any fashion.
gfx_triangle;0xFFC9;0xFFBF;0xFF74 ;x1,y1,x2,y2,x3,y3,colour;ack;x1,y1 : first vertice of the triangle, x2,y2 : second vertice of the triangle, x3,y3 : third vertice of the triangle, colour : colour of the triangle.;;Draws a triangle outline between specified vertices using the specified colour. The line may be tessellated with the “Line Pattern” command.
gfx_triangleFilled;;0xFFA9 ;0xFF59;x1,y1,x2,y2,x3,y3,colour;ack;x1,y1 : first vertice of the triangle, x2,y2 : second vertice of the triangle, x3,y3 : third vertice of the triangle, colour : colour of the triangle.;;Draws a solid triangle between specified vertices using the specified colour.
gfx_orbit;0x0003;0x0012;0x0012;angle,distance;ack,Xdist,Ydist;angle : angle from the origin to the remote point. The angle is specified in degrees, distance : distance from the origin to the remote point in pixel units.;Xdist,Ydist : coordinates from the current origin.;Calculates the coordinates of a distant point relative to the current origin, where the only known parameters are the angle and the distance from the current origin.
gfx_putPixel;0xFFCB;0xFFC1;0xFF76;x, y,colour;ack;x, y : pixel coordinates, colour : colour of the pixel;;Draws a pixel at specified coordinates using the specified colour.
gfx_getPixel;0xFFCA;0xFFC0;0xFF75;x,y;ack,colour;x, y : pixel coordinates;colour : 16bit colour of the pixel.;Reads the colour value of the pixel at the specified coordinate.
gfx_moveTo;0xFFD6;0xFFCC;0xFF81;x,y;ack;x,y : coordinates of the new origin.;;Moves the origin to a new position.
gfx_lineTo;0xFFD4 ;0xFFCA;0xFF7F;x,y;ack;x,y : line end coordinates.;;Draws a line from the current origin to a new position. The Origin is then set to the new position. The line is drawn using the current object colour, using the “Set Graphics Parameters” – “Object Colour” command. The line may be tessellated with the “Line Pattern” command.
gfx_clipping;0xFF6C;0xFFA2 ;0xFF46;mode;ack;mode : 0 = Clipping Disabled, 1 = Clipping Enabled;;Enables or Disables the ability for Clipping to be used.
